step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy,gpu_mem_gb,grad_norm
step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy,gpu_mem_gb,grad_norm
14700,0.147281,3.00e-04,1623,37370.9,0.9734,13.66,0.4418
14800,0.149522,3.00e-04,1623,37626.7,0.9738,13.66,0.4079
14900,0.137870,3.00e-04,1623,37882.6,0.9751,13.66,0.3981
15000,0.137366,3.00e-04,1623,38139.7,0.9753,13.66,0.4051
15100,0.140720,3.00e-04,1622,38398.9,0.9742,13.66,0.4106
15200,0.131743,3.00e-04,1621,38656.3,0.9757,13.66,0.3894
15400,0.146408,3.00e-04,1621,39169.2,0.9736,13.66,0.4616
15500,0.137358,3.00e-04,1621,39426.4,0.9751,13.66,0.4331
15600,0.130284,3.00e-04,1620,39683.9,0.9762,13.66,0.3958
15700,0.152244,3.00e-04,1621,39941.4,0.9727,13.66,0.4264
15800,0.141987,3.00e-04,1622,40198.9,0.9743,13.66,0.3894
15900,0.132799,3.00e-04,1623,40456.9,0.9756,13.66,0.4114
16000,0.129062,3.00e-04,1624,40714.6,0.9767,13.66,0.3432
16100,0.128494,3.00e-04,1626,40972.4,0.9767,13.66,0.3810
16200,0.124206,3.00e-04,1627,41230.2,0.9774,13.66,0.3744
16300,0.156273,3.00e-04,1628,41488.2,0.9709,13.66,0.4040
16400,0.160433,3.00e-04,1630,41746.3,0.9705,13.66,0.3808
16500,0.154844,3.00e-04,1632,42004.4,0.9713,13.66,0.4145
16600,0.143307,3.00e-04,1634,42262.6,0.9735,13.66,0.3554
16700,0.138578,3.00e-04,1635,42520.8,0.9753,13.66,0.3633
16800,0.133424,3.00e-04,1636,42779.0,0.9762,13.66,0.3640
16900,0.135559,3.00e-04,1637,43037.2,0.9756,13.66,0.3939
17000,0.141645,3.00e-04,1638,43295.7,0.9747,13.66,0.3732
17100,0.136079,3.00e-04,1638,43554.4,0.9758,13.66,0.3787
17200,0.132626,3.00e-04,1639,43812.9,0.9760,13.66,0.3636
17400,0.118371,3.00e-04,1640,44330.4,0.9781,13.66,0.3670
17500,0.117784,3.00e-04,1641,44589.0,0.9781,13.66,0.3633
17600,0.133097,3.00e-04,1641,44847.7,0.9762,13.66,0.3587
17700,0.125225,3.00e-04,1642,45106.5,0.9771,13.66,0.3916
17800,0.120160,3.00e-04,1642,45365.1,0.9778,13.66,0.3458
17900,0.139417,3.00e-04,1643,45623.9,0.9750,13.66,0.3613
18000,0.130525,3.00e-04,1644,45880.6,0.9765,13.66,0.3723
18100,0.123781,3.00e-04,1645,46136.6,0.9781,13.66,0.3508
18200,0.143843,3.00e-04,1646,46392.0,0.9750,13.66,0.3798
18300,0.135706,3.00e-04,1646,46647.2,0.9759,13.66,0.3766
18400,0.132353,3.00e-04,1647,46902.3,0.9764,13.66,0.4000
18500,0.130475,3.00e-04,1648,47157.5,0.9769,13.66,0.3661
18600,0.123612,3.00e-04,1648,47412.7,0.9777,13.66,0.3629
18700,0.117798,3.00e-04,1649,47668.0,0.9784,13.66,0.3381
18800,0.137433,3.00e-04,1649,47923.1,0.9762,13.66,0.3811
18900,0.135449,3.00e-04,1649,48178.0,0.9764,13.66,0.4182
19000,0.124868,3.00e-04,1649,48433.3,0.9776,13.66,0.3900
19100,0.126561,3.00e-04,1649,48688.3,0.9774,13.66,0.4100
19200,0.129505,3.00e-04,1648,48943.3,0.9769,13.66,0.3688
19300,0.119761,3.00e-04,1648,49198.1,0.9782,13.66,0.3479
19400,0.125633,3.00e-04,1648,49452.8,0.9774,13.66,0.3903
19500,0.142312,3.00e-04,1648,49707.4,0.9755,13.66,0.4050
19600,0.125392,3.00e-04,1648,49962.1,0.9777,13.66,0.3848
19700,0.128120,3.00e-04,1648,50217.3,0.9770,13.66,0.3753
19800,0.128895,3.00e-04,1647,50474.0,0.9763,13.66,0.3835
20000,0.121665,3.00e-04,1646,50985.5,0.9768,13.66,0.3805
20100,0.169502,3.00e-04,1648,51255.1,0.9707,13.66,0.4481
