step,loss,lr,tokens_per_sec,elapsed_sec
21600,3.864408,1.00e-04,23547,4003.2
21700,3.905675,1.00e-04,23547,4021.7
21800,3.862025,1.00e-04,23547,4040.2
21900,3.823328,1.00e-04,23546,4058.7
22000,3.804832,1.00e-04,23544,4077.2
22100,3.760021,1.00e-04,23543,4095.7
22200,3.736354,1.00e-04,23544,4114.1
22300,3.838461,1.00e-04,23551,4132.6
22400,3.784285,1.00e-04,23558,4151.1
22500,3.767932,1.00e-04,23565,4169.6
22600,3.824754,1.00e-04,23570,4188.1
22700,3.747491,1.00e-04,23574,4206.5
22800,3.705770,1.00e-04,23578,4225.0
22900,3.812383,1.00e-04,23578,4243.5
23000,3.754675,1.00e-04,23577,4262.0
23100,3.700370,1.00e-04,23578,4280.4
23200,3.790983,1.00e-04,23587,4298.9
23300,3.724940,1.00e-04,23597,4317.4
23400,3.754157,1.00e-04,23609,4335.9
23500,3.750673,1.00e-04,23612,4354.3
23600,3.698822,1.00e-04,23612,4372.8
23700,3.689127,1.00e-04,23613,4391.3
23800,3.707367,1.00e-04,23613,4409.8
23900,3.706105,1.00e-04,23613,4428.3
24000,3.642774,1.00e-04,23614,4446.8
24100,3.680203,1.00e-04,23613,4465.2
24200,3.715796,1.00e-04,23609,4483.7
24300,3.640828,1.00e-04,23607,4502.2
24400,3.619317,1.00e-04,23604,4520.7
24500,3.544630,1.00e-04,23597,4539.2
24600,3.479289,1.00e-04,23592,4557.7
24700,3.468705,1.00e-04,23586,4576.1
24800,3.549626,1.00e-04,23578,4594.6
24900,3.512470,1.00e-04,23570,4613.1
25000,3.468231,1.00e-04,23563,4631.5
25100,3.669020,1.00e-04,23562,4650.1
25200,3.646721,1.00e-04,23562,4668.5
25300,3.667421,1.00e-04,23562,4687.0
25400,3.726870,1.00e-04,23558,4705.5
25500,3.685994,1.00e-04,23555,4724.0
25600,3.631945,1.00e-04,23551,4742.4
25700,3.638825,1.00e-04,23548,4760.9
25800,3.596738,1.00e-04,23545,4779.4
25900,3.560648,1.00e-04,23542,4797.9
26000,3.558149,1.00e-04,23539,4816.3
26100,3.540894,1.00e-04,23538,4834.8
26200,3.478929,1.00e-04,23537,4853.3
26300,3.528457,1.00e-04,23537,4871.8
26400,3.541388,1.00e-04,23538,4890.3
26500,3.474069,1.00e-04,23539,4908.8
26600,3.518198,1.00e-04,23539,4927.3
26700,3.570519,1.00e-04,23540,4945.7
26800,3.495385,1.00e-04,23540,4964.2
26900,3.532130,1.00e-04,23541,4982.7
27000,3.579220,1.00e-04,23541,5001.2
27100,3.536024,1.00e-04,23543,5019.7
27200,3.505845,1.00e-04,23544,5038.1
27300,3.565211,1.00e-04,23542,5056.6
27400,3.510606,1.00e-04,23541,5075.1
27500,3.497586,1.00e-04,23540,5093.6
27600,3.554254,1.00e-04,23541,5112.1
