step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy
121800,0.060114,3.00e-05,16005,2196.5,0.9906
121900,0.036823,3.00e-05,15993,2206.6,0.9928
122000,0.049301,3.00e-05,15981,2216.6,0.9909
122100,0.049129,3.00e-05,15975,2226.7,0.9916
122200,0.046935,3.00e-05,15970,2236.8,0.9913
122300,0.061754,3.00e-05,15968,2246.8,0.9895
122400,0.057468,3.00e-05,15962,2256.9,0.9905
122500,0.052138,3.00e-05,15955,2266.9,0.9902
122600,0.054168,3.00e-05,15949,2277.0,0.9898
122700,0.044808,3.00e-05,15946,2287.0,0.9920
122800,0.057262,3.00e-05,15940,2297.1,0.9910
122900,0.061582,3.00e-05,15935,2307.2,0.9893
123000,0.057010,3.00e-05,15941,2317.2,0.9913
123100,0.057938,3.00e-05,15944,2327.3,0.9907
123200,0.052432,3.00e-05,15944,2337.3,0.9914
123300,0.043186,3.00e-05,15940,2347.4,0.9925
123400,0.052987,3.00e-05,15935,2357.4,0.9911
123500,0.052240,3.00e-05,15928,2367.5,0.9907
123600,0.061202,3.00e-05,15927,2377.5,0.9894
123700,0.056543,3.00e-05,15926,2387.6,0.9904
123800,0.053149,3.00e-05,15924,2397.6,0.9903
123900,0.067633,3.00e-05,15924,2407.7,0.9880
124000,0.055888,3.00e-05,15922,2417.7,0.9904
124100,0.056459,3.00e-05,15920,2427.8,0.9896
124200,0.061094,3.00e-05,15919,2437.9,0.9888
124300,0.060893,3.00e-05,15920,2447.9,0.9900
124400,0.067176,3.00e-05,15921,2458.0,0.9886
124500,0.062961,3.00e-05,15922,2468.0,0.9895
124600,0.048019,3.00e-05,15925,2478.1,0.9918
124700,0.051716,3.00e-05,15931,2488.1,0.9919
124800,0.059445,3.00e-05,15938,2498.2,0.9906
124900,0.044813,3.00e-05,15946,2508.3,0.9928
125000,0.051305,3.00e-05,15948,2518.3,0.9915
125100,0.048020,3.00e-05,15950,2528.4,0.9920
125200,0.047633,3.00e-05,15951,2538.4,0.9919
125300,0.052514,3.00e-05,15955,2548.5,0.9909
125400,0.044847,3.00e-05,15961,2558.6,0.9930
125500,0.052813,3.00e-05,15971,2568.6,0.9919
125600,0.049827,3.00e-05,15975,2578.7,0.9914
125700,0.049069,3.00e-05,15976,2588.7,0.9918
125800,0.052505,3.00e-05,15972,2598.8,0.9915
125900,0.053166,3.00e-05,15967,2608.8,0.9911
126000,0.049220,3.00e-05,15960,2618.9,0.9911
126100,0.049054,3.00e-05,15953,2629.0,0.9912
126200,0.049710,3.00e-05,15950,2639.1,0.9911
126300,0.047920,3.00e-05,15947,2649.3,0.9918
126400,0.047960,3.00e-05,15946,2659.3,0.9917
126500,0.048117,3.00e-05,15946,2669.3,0.9919
126600,0.042498,3.00e-05,15945,2679.4,0.9931
126700,0.049249,3.00e-05,15946,2689.4,0.9918
126800,0.052765,3.00e-05,15945,2699.6,0.9915
126900,0.056548,3.00e-05,15942,2709.8,0.9908
127000,0.053899,3.00e-05,15941,2720.0,0.9908
127100,0.043993,3.00e-05,15937,2730.2,0.9918
127200,0.062157,3.00e-05,15930,2740.5,0.9892
127300,0.058868,3.00e-05,15927,2750.6,0.9904
127400,0.049455,3.00e-05,15925,2760.7,0.9910
127500,0.052956,3.00e-05,15922,2770.8,0.9902
127600,0.054408,3.00e-05,15918,2780.9,0.9907
127700,0.041196,3.00e-05,15915,2791.0,0.9920
127800,0.043294,3.00e-05,15917,2801.0,0.9925
127900,0.051191,3.00e-05,15916,2811.1,0.9916
128000,0.047797,3.00e-05,15910,2821.1,0.9918
128100,0.049764,3.00e-05,15906,2831.2,0.9909
128200,0.054186,3.00e-05,15913,2841.3,0.9909
128300,0.054251,3.00e-05,15910,2851.4,0.9897
128400,0.064408,3.00e-05,15906,2861.5,0.9884
128500,0.059050,3.00e-05,15903,2871.7,0.9897
128600,0.063227,3.00e-05,15899,2882.0,0.9885
128700,0.076918,3.00e-05,15895,2892.2,0.9874
128800,0.047223,3.00e-05,15891,2902.4,0.9923
128900,0.043056,3.00e-05,15886,2912.5,0.9931
129000,0.060416,3.00e-05,15881,2922.7,0.9899
129100,0.053331,3.00e-05,15879,2932.9,0.9910
129200,0.039648,3.00e-05,15875,2943.0,0.9931
129300,0.038053,3.00e-05,15864,2953.2,0.9927
129400,0.050381,3.00e-05,15854,2963.5,0.9916
129500,0.053761,3.00e-05,15846,2973.9,0.9901
129600,0.045208,3.00e-05,15843,2984.4,0.9925
129700,0.063285,3.00e-05,15843,2994.7,0.9904
129800,0.059719,3.00e-05,15834,3005.4,0.9907
129900,0.061692,3.00e-05,15823,3015.8,0.9893
130000,0.058340,3.00e-05,15817,3026.1,0.9899
130100,0.064185,3.00e-05,15810,3036.7,0.9897
130200,0.057424,3.00e-05,15805,3047.0,0.9905
130300,0.064503,3.00e-05,15795,3057.3,0.9901
130400,0.056031,3.00e-05,15785,3067.7,0.9906
130500,0.059815,3.00e-05,15776,3077.9,0.9910
130600,0.051853,3.00e-05,15769,3088.3,0.9911
130700,0.042849,3.00e-05,15758,3098.7,0.9932
130800,0.038521,3.00e-05,15748,3109.2,0.9935
130900,0.041199,3.00e-05,15741,3119.7,0.9929
131000,0.038987,3.00e-05,15736,3130.2,0.9936
131100,0.059159,3.00e-05,15733,3140.8,0.9904
131200,0.061916,3.00e-05,15731,3151.3,0.9901
131300,0.049617,3.00e-05,15725,3161.8,0.9906
131400,0.059663,3.00e-05,15722,3172.2,0.9896
131500,0.054480,3.00e-05,15723,3182.5,0.9904
131600,0.063267,3.00e-05,15723,3192.8,0.9902
131700,0.064022,3.00e-05,15723,3203.1,0.9880
131800,0.057565,3.00e-05,15723,3213.4,0.9897
131900,0.051249,3.00e-05,15723,3223.9,0.9915
132000,0.057268,3.00e-05,15723,3234.3,0.9903
132100,0.054324,3.00e-05,15723,3244.8,0.9899
132200,0.065166,3.00e-05,15721,3255.3,0.9895
132300,0.065898,3.00e-05,15720,3265.7,0.9891
132400,0.070085,3.00e-05,15718,3276.2,0.9886
132500,0.062439,3.00e-05,15716,3286.7,0.9895
132600,0.059555,3.00e-05,15717,3297.0,0.9900
132700,0.083862,3.00e-05,15714,3307.4,0.9865
132800,0.067478,3.00e-05,15712,3317.7,0.9889
132900,0.059024,3.00e-05,15710,3328.2,0.9896
133000,0.055899,3.00e-05,15709,3338.4,0.9901
133100,0.066752,3.00e-05,15708,3348.7,0.9895
133200,0.064780,3.00e-05,15708,3359.0,0.9893
133300,0.059700,3.00e-05,15709,3369.4,0.9899
133400,0.065425,3.00e-05,15705,3379.8,0.9886
133500,0.064211,3.00e-05,15701,3390.2,0.9896
133600,0.066418,3.00e-05,15699,3400.6,0.9888
133700,0.062012,3.00e-05,15698,3410.9,0.9887
133800,0.067984,3.00e-05,15699,3421.2,0.9890
133900,0.069883,3.00e-05,15701,3431.3,0.9886
134000,0.067746,3.00e-05,15701,3441.4,0.9878
134100,0.063592,3.00e-05,15701,3451.4,0.9887
134200,0.068329,3.00e-05,15701,3461.5,0.9888
134300,0.063922,3.00e-05,15702,3471.6,0.9899
134400,0.061821,3.00e-05,15701,3481.6,0.9892
134500,0.053514,3.00e-05,15700,3491.7,0.9910
134600,0.055261,3.00e-05,15701,3501.8,0.9906
134700,0.051206,3.00e-05,15701,3511.8,0.9910
134800,0.047219,3.00e-05,15700,3521.9,0.9917
134900,0.033755,3.00e-05,15700,3532.0,0.9940
135000,0.042626,3.00e-05,15700,3542.0,0.9927
135100,0.047343,3.00e-05,15701,3552.1,0.9918
135200,0.049044,3.00e-05,15702,3562.1,0.9917
135300,0.056672,3.00e-05,15702,3572.4,0.9902
135400,0.050161,3.00e-05,15701,3582.6,0.9910
